"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2025","24,874.00","23,902.30","24,986.00","22,182.95","11.39B","3.39%"
"01-03-2025","24,057.35","22,551.65","24,409.75","22,324.05","13.66B","7.02%"
"01-02-2025","22,479.45","24,092.10","24,382.50","22,452.15","12.53B","-6.54%"
"01-01-2025","24,053.45","24,493.35","25,060.90","23,277.85","14.63B","-1.80%"
"01-12-2024","24,495.55","25,063.55","25,784.40","24,300.75","12.55B","-2.23%"
"01-11-2024","25,053.95","25,171.00","25,443.30","24,014.25","12.91B","-0.02%"
"01-10-2024","25,059.50","26,879.95","26,994.15","24,897.20","14.43B","-6.81%"
"01-09-2024","26,890.15","26,383.45","27,335.65","25,786.30","14.11B","2.34%"
"01-08-2024","26,274.35","26,101.10","26,309.05","24,871.55","14.37B","0.96%"
"01-07-2024","26,025.60","25,004.00","26,054.30","24,895.55","17.73B","4.07%"
"01-06-2024","25,007.25","24,444.70","25,165.80","22,003.75","19.34B","6.33%"
"01-05-2024","23,518.05","23,422.90","24,106.85","22,630.85","17.62B","0.35%"
"01-04-2024","23,436.50","23,065.15","23,618.70","22,469.05","14.29B","2.25%"
"01-03-2024","22,920.70","22,605.70","23,090.20","22,140.20","12.85B","1.75%"
"01-02-2024","22,526.30","22,123.45","22,804.80","21,934.80","15.75B","2.15%"
"01-01-2024","22,051.55","21,928.70","22,367.30","21,391.80","14.58B","0.61%"
"01-12-2023","21,918.80","20,274.60","21,951.90","20,263.10","13.67B","8.50%"
"01-11-2023","20,201.00","19,028.85","20,226.40","18,926.05","10.22B","6.12%"
"01-10-2023","19,035.35","19,569.90","19,792.75","18,743.30","9.51B","-2.77%"
"01-09-2023","19,577.05","19,212.90","20,136.30","19,210.15","11.00B","1.94%"
"01-08-2023","19,204.80","19,712.85","19,722.10","19,153.70","12.24B","-2.41%"
"01-07-2023","19,679.35","19,159.95","19,822.95","19,148.55","10.56B","3.04%"
"01-06-2023","19,099.55","18,482.85","19,110.50","18,383.80","9.86B","3.59%"
"01-05-2023","18,438.30","17,964.35","18,546.90","17,895.35","11.35B","2.98%"
"01-04-2023","17,903.95","17,256.20","17,926.05","17,141.45","7.90B","4.18%"
"01-03-2023","17,186.15","17,134.90","17,586.05","16,696.25","10.81B","0.60%"
"01-02-2023","17,083.80","17,744.85","17,907.00","17,039.60","11.67B","-2.94%"
"01-01-2023","17,601.00","18,290.20","18,398.95","17,331.90","10.61B","-3.60%"
"01-12-2022","18,258.75","19,034.20","19,039.40","17,834.10","9.65B","-3.49%"
"01-11-2022","18,919.55","18,354.90","18,980.75","18,198.00","11.60B","3.71%"
"01-10-2022","18,243.40","17,448.70","18,256.65","17,137.30","8.73B","4.62%"
"01-09-2022","17,438.60","17,858.45","18,505.20","17,080.65","14.60B","-3.72%"
"01-08-2022","18,112.40","17,487.65","18,304.70","17,396.00","14.60B","4.09%"
"01-07-2022","17,400.75","15,861.60","17,413.85","15,679.30","11.60B","9.24%"
"01-06-2022","15,929.40","16,772.05","16,953.65","15,336.05","10.66B","-5.00%"
"01-05-2022","16,767.50","17,286.65","17,483.80","15,941.10","12.42B","-3.95%"
"01-04-2022","17,457.20","17,643.90","18,327.75","17,199.50","10.09B","-1.15%"
"01-03-2022","17,660.35","16,826.25","17,752.55","15,901.10","16.46B","3.78%"
"01-02-2022","17,016.55","17,731.55","18,012.25","16,384.45","13.31B","-3.03%"
"01-01-2022","17,547.40","17,654.45","18,595.15","17,030.45","12.42B","-0.41%"
"01-12-2021","17,618.80","17,381.40","17,941.35","16,653.60","12.89B","2.02%"
"01-11-2021","17,270.25","17,996.55","18,498.70","17,060.70","12.64B","-3.41%"
"01-10-2021","17,880.80","17,768.00","18,870.70","17,686.60","18.13B","0.20%"
"01-09-2021","17,845.10","17,432.65","18,204.05","17,321.70","15.43B","2.72%"
"01-08-2021","17,373.10","16,151.80","17,394.60","16,112.80","12.08B","8.31%"
"01-07-2021","16,040.15","15,992.20","16,200.30","15,781.90","11.54B","0.51%"
"01-06-2021","15,959.40","15,848.00","16,167.60","15,665.25","17.72B","1.02%"
"01-05-2021","15,798.70","14,645.60","15,822.35","14,583.35","19.69B","6.82%"
"01-04-2021","14,790.60","14,912.25","15,178.85","14,329.60","15.23B","-0.11%"
"01-03-2021","14,807.45","14,834.50","15,438.50","14,393.50","17.79B","0.95%"
"01-02-2021","14,667.60","13,866.05","15,513.50","13,762.20","24.64B","6.73%"
