"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2025","13,464.60","12,907.75","13,544.75","11,943.65","35.54B","3.71%"
"01-03-2025","12,982.75","12,150.65","13,185.55","12,007.05","33.37B","7.15%"
"01-02-2025","12,116.15","13,091.85","13,245.40","12,086.30","29.84B","-7.26%"
"01-01-2025","13,064.55","13,407.00","13,707.80","12,610.90","38.07B","-2.55%"
"01-12-2024","13,406.95","13,631.70","14,062.30","13,290.35","29.74B","-1.61%"
"01-11-2024","13,627.00","13,683.15","13,846.85","13,057.50","33.41B","0.06%"
"01-10-2024","13,618.20","14,609.70","14,662.60","13,491.65","36.22B","-6.79%"
"01-09-2024","14,610.80","14,354.95","14,833.75","14,015.55","41.67B","2.20%"
"01-08-2024","14,295.70","14,215.75","14,317.45","13,508.00","40.65B","0.88%"
"01-07-2024","14,170.80","13,584.25","14,184.65","13,477.00","53.22B","4.36%"
"01-06-2024","13,579.25","13,243.40","13,653.55","11,878.65","62.55B","6.56%"
"01-05-2024","12,742.80","12,675.10","13,062.75","12,216.40","55.77B","0.55%"
"01-04-2024","12,673.15","12,410.65","12,769.60","12,119.00","55.37B","2.79%"
"01-03-2024","12,329.75","12,206.00","12,443.50","11,868.35","35.34B","1.39%"
"01-02-2024","12,160.45","11,992.75","12,327.65","11,836.40","56.66B","1.73%"
"01-01-2024","11,953.80","11,809.45","12,074.80","11,555.45","49.77B","1.31%"
"01-12-2023","11,798.70","10,930.55","11,811.50","10,924.00","40.02B","8.37%"
"01-11-2023","10,887.35","10,199.55","10,899.00","10,143.30","30.53B","6.76%"
"01-10-2023","10,198.35","10,507.95","10,618.65","10,017.55","24.44B","-2.97%"
"01-09-2023","10,510.25","10,289.75","10,785.60","10,285.40","38.44B","2.19%"
"01-08-2023","10,284.95","10,466.35","10,469.70","10,188.40","31.76B","-1.54%"
"01-07-2023","10,445.90","10,139.40","10,480.40","10,134.20","27.93B","3.38%"
"01-06-2023","10,104.35","9,746.15","10,109.30","9,700.70","22.03B","3.90%"
"01-05-2023","9,724.80","9,437.60","9,771.10","9,412.10","25.00B","3.41%"
"01-04-2023","9,404.00","9,046.25","9,414.65","8,990.50","17.36B","4.40%"
"01-03-2023","9,007.90","8,990.35","9,235.25","8,767.55","21.92B","0.48%"
"01-02-2023","8,964.55","9,297.70","9,367.20","8,936.20","23.05B","-2.79%"
"01-01-2023","9,222.05","9,573.55","9,633.55","9,071.55","25.05B","-3.48%"
"01-12-2022","9,554.45","9,935.20","9,935.30","9,298.85","33.49B","-3.26%"
"01-11-2022","9,876.55","9,599.35","9,907.60","9,518.65","25.83B","3.48%"
"01-10-2022","9,544.40","9,152.20","9,550.25","8,990.55","18.41B","4.34%"
"01-09-2022","9,147.45","9,362.05","9,706.50","8,953.70","27.53B","-3.56%"
"01-08-2022","9,485.60","9,133.40","9,576.25","9,086.05","27.27B","4.38%"
"01-07-2022","9,087.65","8,256.20","9,095.30","8,166.80","20.07B","9.61%"
"01-06-2022","8,290.80","8,750.10","8,847.40","7,978.20","19.42B","-5.20%"
"01-05-2022","8,745.65","9,037.50","9,135.40","8,304.90","24.35B","-4.14%"
"01-04-2022","9,123.40","9,201.35","9,562.95","9,004.80","23.60B","-0.91%"
"01-03-2022","9,207.00","8,760.85","9,250.75","8,286.35","28.83B","3.97%"
"01-02-2022","8,855.50","9,274.65","9,419.25","8,512.80","26.20B","-3.53%"
"01-01-2022","9,179.15","9,236.35","9,733.20","8,878.25","27.58B","-0.43%"
"01-12-2021","9,218.35","9,086.80","9,406.05","8,699.70","33.32B","2.11%"
"01-11-2021","9,028.30","9,396.40","9,682.25","8,904.50","26.96B","-3.32%"
"01-10-2021","9,338.20","9,280.80","9,895.10","9,238.10","37.60B","0.21%"
"01-09-2021","9,318.55","9,059.15","9,488.50","9,009.35","42.33B","3.25%"
"01-08-2021","9,025.25","8,453.60","9,035.60","8,435.50","32.16B","7.49%"
"01-07-2021","8,396.15","8,342.55","8,469.20","8,246.20","27.58B","0.85%"
"01-06-2021","8,325.55","8,232.80","8,437.30","8,149.45","38.72B","1.47%"
"01-05-2021","8,204.90","7,611.80","8,216.80","7,579.90","40.00B","6.78%"
"01-04-2021","7,683.95","7,726.40","7,875.25","7,427.00","30.76B","0.16%"
"01-03-2021","7,671.60","7,675.05","7,987.90","7,443.70","37.87B","1.06%"
"01-02-2021","7,591.25","7,138.40","7,978.90","7,080.75","47.54B","7.27%"
